CARBON DIOXIDE                                                          

Kinetic   Total     CSDA      
Energy    Stp. Pow. Range     
MeV       MeV cm2/g g/cm2     

1.000E-03 2.262E+02 5.314E-06 
1.500E-03 2.388E+02 7.455E-06 
2.000E-03 2.488E+02 9.506E-06 
2.500E-03 2.577E+02 1.148E-05 
3.000E-03 2.658E+02 1.339E-05 
4.000E-03 2.809E+02 1.705E-05 
5.000E-03 2.951E+02 2.052E-05 
6.000E-03 3.086E+02 2.383E-05 
7.000E-03 3.215E+02 2.701E-05 
8.000E-03 3.339E+02 3.006E-05 
9.000E-03 3.459E+02 3.300E-05 
1.000E-02 3.576E+02 3.584E-05 
1.250E-02 3.853E+02 4.258E-05 
1.500E-02 4.113E+02 4.885E-05 
1.750E-02 4.359E+02 5.476E-05 
2.000E-02 4.592E+02 6.034E-05 
2.250E-02 4.815E+02 6.566E-05 
2.500E-02 5.029E+02 7.074E-05 
2.750E-02 5.235E+02 7.561E-05 
3.000E-02 5.433E+02 8.030E-05 
3.500E-02 5.810E+02 8.919E-05 
4.000E-02 6.165E+02 9.754E-05 
4.500E-02 6.501E+02 1.054E-04 
5.000E-02 6.822E+02 1.129E-04 
5.500E-02 7.128E+02 1.201E-04 
6.000E-02 7.422E+02 1.270E-04 
6.500E-02 7.704E+02 1.336E-04 
7.000E-02 7.977E+02 1.400E-04 
7.500E-02 8.241E+02 1.461E-04 
8.000E-02 8.496E+02 1.521E-04 
8.500E-02 8.744E+02 1.579E-04 
9.000E-02 8.985E+02 1.636E-04 
9.500E-02 9.219E+02 1.690E-04 
1.000E-01 9.448E+02 1.744E-04 
1.250E-01 1.051E+03 1.995E-04 
1.500E-01 1.147E+03 2.222E-04 
1.750E-01 1.234E+03 2.432E-04 
2.000E-01 1.314E+03 2.628E-04 
2.250E-01 1.388E+03 2.813E-04 
2.500E-01 1.456E+03 2.989E-04 
2.750E-01 1.519E+03 3.157E-04 
3.000E-01 1.577E+03 3.319E-04 
3.500E-01 1.681E+03 3.626E-04 
4.000E-01 1.767E+03 3.915E-04 
4.500E-01 1.838E+03 4.193E-04 
5.000E-01 1.894E+03 4.460E-04 
5.500E-01 1.936E+03 4.721E-04 
6.000E-01 1.964E+03 4.977E-04 
6.500E-01 1.980E+03 5.231E-04 
7.000E-01 1.985E+03 5.483E-04 
7.500E-01 1.981E+03 5.735E-04 
8.000E-01 1.970E+03 5.988E-04 
8.500E-01 1.954E+03 6.243E-04 
9.000E-01 1.935E+03 6.500E-04 
9.500E-01 1.913E+03 6.760E-04 
1.000E+00 1.890E+03 7.023E-04 
1.250E+00 1.754E+03 8.395E-04 
1.500E+00 1.616E+03 9.880E-04 
1.750E+00 1.492E+03 1.149E-03 
2.000E+00 1.384E+03 1.323E-03 
2.250E+00 1.291E+03 1.510E-03 
2.500E+00 1.210E+03 1.711E-03 
2.750E+00 1.140E+03 1.924E-03 
3.000E+00 1.078E+03 2.149E-03 
3.500E+00 9.740E+02 2.638E-03 
4.000E+00 8.906E+02 3.176E-03 
4.500E+00 8.220E+02 3.761E-03 
5.000E+00 7.645E+02 4.392E-03 
5.500E+00 7.154E+02 5.068E-03 
6.000E+00 6.731E+02 5.789E-03 
6.500E+00 6.359E+02 6.554E-03 
7.000E+00 6.030E+02 7.362E-03 
7.500E+00 5.738E+02 8.212E-03 
8.000E+00 5.477E+02 9.104E-03 
8.500E+00 5.241E+02 1.004E-02 
9.000E+00 5.027E+02 1.101E-02 
9.500E+00 4.832E+02 1.203E-02 
1.000E+01 4.653E+02 1.308E-02 
1.250E+01 3.942E+02 1.894E-02 
1.500E+01 3.435E+02 2.575E-02 
1.750E+01 3.054E+02 3.349E-02 
2.000E+01 2.756E+02 4.212E-02 
2.500E+01 2.317E+02 6.199E-02 
2.750E+01 2.150E+02 7.319E-02 
3.000E+01 2.008E+02 8.523E-02 
3.500E+01 1.777E+02 1.118E-01 
4.000E+01 1.598E+02 1.415E-01 
4.500E+01 1.454E+02 1.743E-01 
5.000E+01 1.336E+02 2.102E-01 
5.500E+01 1.238E+02 2.491E-01 
6.000E+01 1.154E+02 2.910E-01 
6.500E+01 1.082E+02 3.358E-01 
7.000E+01 1.019E+02 3.834E-01 
7.500E+01 9.638E+01 4.339E-01 
8.000E+01 9.148E+01 4.872E-01 
8.500E+01 8.710E+01 5.432E-01 
9.000E+01 8.317E+01 6.020E-01 
9.500E+01 7.961E+01 6.634E-01 
1.000E+02 7.638E+01 7.276E-01 
1.250E+02 6.379E+01 1.087E+00 
1.500E+02 5.510E+01 1.510E+00 
1.750E+02 4.871E+01 1.994E+00 
2.000E+02 4.381E+01 2.536E+00 
2.250E+02 3.993E+01 3.135E+00 
2.500E+02 3.677E+01 3.788E+00 
2.750E+02 3.415E+01 4.494E+00 
3.000E+02 3.193E+01 5.252E+00 
3.500E+02 2.840E+01 6.916E+00 
4.000E+02 2.570E+01 8.769E+00 
4.500E+02 2.357E+01 1.080E+01 
5.000E+02 2.185E+01 1.301E+01 
5.500E+02 2.042E+01 1.538E+01 
6.000E+02 1.922E+01 1.790E+01 
6.500E+02 1.820E+01 2.058E+01 
7.000E+02 1.732E+01 2.340E+01 
7.500E+02 1.655E+01 2.635E+01 
8.000E+02 1.587E+01 2.944E+01 
8.500E+02 1.527E+01 3.265E+01 
9.000E+02 1.474E+01 3.598E+01 
9.500E+02 1.426E+01 3.943E+01 
1.000E+03 1.383E+01 4.300E+01
