 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 31, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Argon [18] , Mass = 40 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.283E+00  4.680E+00    8.48 um     1.93 um     1.57 um  
  11.00 keV   1.345E+00  4.717E+00    9.09 um     2.04 um     1.67 um  
  12.00 keV   1.405E+00  4.746E+00    9.69 um     2.15 um     1.76 um  
  13.00 keV   1.462E+00  4.769E+00   10.28 um     2.26 um     1.86 um  
  14.00 keV   1.518E+00  4.785E+00   10.87 um     2.37 um     1.95 um  
  15.00 keV   1.571E+00  4.797E+00   11.45 um     2.47 um     2.03 um  
  16.00 keV   1.622E+00  4.805E+00   12.03 um     2.57 um     2.12 um  
  17.00 keV   1.672E+00  4.809E+00   12.60 um     2.67 um     2.21 um  
  18.00 keV   1.721E+00  4.811E+00   13.17 um     2.77 um     2.29 um  
  20.00 keV   1.814E+00  4.807E+00   14.29 um     2.97 um     2.45 um  
  22.50 keV   1.924E+00  4.792E+00   15.68 um     3.21 um     2.65 um  
  25.00 keV   2.028E+00  4.768E+00   17.06 um     3.44 um     2.85 um  
  27.50 keV   2.127E+00  4.739E+00   18.43 um     3.66 um     3.04 um  
  30.00 keV   2.221E+00  4.706E+00   19.78 um     3.88 um     3.22 um  
  32.50 keV   2.312E+00  4.669E+00   21.13 um     4.09 um     3.40 um  
  35.00 keV   2.399E+00  4.631E+00   22.47 um     4.30 um     3.58 um  
