 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 28, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  2.4870E-03 g/cm3 = 3.6075E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.782E-01  2.727E+00    2.10 um     5803 A      4361 A   
   1.10 keV   3.967E-01  2.819E+00    2.21 um     6061 A      4573 A   
   1.20 keV   4.143E-01  2.903E+00    2.32 um     6309 A      4777 A   
   1.30 keV   4.312E-01  2.982E+00    2.43 um     6547 A      4974 A   
   1.40 keV   4.475E-01  3.054E+00    2.53 um     6777 A      5165 A   
   1.50 keV   4.632E-01  3.122E+00    2.63 um     7000 A      5350 A   
   1.60 keV   4.784E-01  3.186E+00    2.73 um     7216 A      5531 A   
   1.70 keV   4.931E-01  3.245E+00    2.82 um     7426 A      5708 A   
   1.80 keV   5.074E-01  3.302E+00    2.92 um     7632 A      5880 A   
   2.00 keV   5.349E-01  3.405E+00    3.10 um     8029 A      6215 A   
   2.25 keV   5.673E-01  3.521E+00    3.32 um     8504 A      6615 A   
   2.50 keV   5.980E-01  3.623E+00    3.54 um     8957 A      7000 A   
   2.75 keV   6.272E-01  3.714E+00    3.75 um     9392 A      7371 A   
   3.00 keV   6.551E-01  3.797E+00    3.95 um     9812 A      7729 A   
   3.25 keV   6.818E-01  3.872E+00    4.15 um     1.02 um     8078 A   
   3.50 keV   7.076E-01  3.940E+00    4.35 um     1.06 um     8416 A   
   3.75 keV   7.324E-01  4.002E+00    4.54 um     1.10 um     8747 A   
