 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 11, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.4870E-03 g/cm3 = 3.6075E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.524E-01  1.361E+00    2.49 um     9688 A      7304 A   
   1.10 keV   3.696E-01  1.375E+00    2.68 um     1.03 um     7762 A   
   1.20 keV   3.860E-01  1.385E+00    2.86 um     1.09 um     8209 A   
   1.30 keV   4.018E-01  1.394E+00    3.03 um     1.15 um     8647 A   
   1.40 keV   4.170E-01  1.401E+00    3.21 um     1.20 um     9076 A   
   1.50 keV   4.316E-01  1.407E+00    3.39 um     1.26 um     9497 A   
   1.60 keV   4.458E-01  1.411E+00    3.56 um     1.31 um     9912 A   
   1.70 keV   4.595E-01  1.414E+00    3.73 um     1.37 um     1.03 um  
   1.80 keV   4.728E-01  1.416E+00    3.90 um     1.42 um     1.07 um  
   2.00 keV   4.984E-01  1.418E+00    4.25 um     1.53 um     1.15 um  
   2.25 keV   5.286E-01  1.418E+00    4.67 um     1.66 um     1.25 um  
   2.50 keV   5.572E-01  1.414E+00    5.09 um     1.78 um     1.34 um  
   2.75 keV   5.844E-01  1.409E+00    5.50 um     1.91 um     1.43 um  
   3.00 keV   6.104E-01  1.402E+00    5.92 um     2.03 um     1.52 um  
   3.25 keV   6.353E-01  1.394E+00    6.33 um     2.15 um     1.61 um  
   3.50 keV   6.593E-01  1.385E+00    6.74 um     2.26 um     1.70 um  
