 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel58 in  H- C (gas).txt

 Ion = Nickel [28] , Mass = 58 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.466E-01  3.144E+00    2.16 um     5911 A      4344 A   
   1.10 keV   1.538E-01  3.267E+00    2.27 um     6159 A      4539 A   
   1.20 keV   1.606E-01  3.382E+00    2.37 um     6396 A      4726 A   
   1.30 keV   1.672E-01  3.490E+00    2.47 um     6622 A      4907 A   
   1.40 keV   1.735E-01  3.590E+00    2.56 um     6840 A      5082 A   
   1.50 keV   1.796E-01  3.685E+00    2.66 um     7051 A      5252 A   
   1.60 keV   1.854E-01  3.775E+00    2.75 um     7254 A      5417 A   
   1.70 keV   1.911E-01  3.860E+00    2.84 um     7452 A      5578 A   
   1.80 keV   1.967E-01  3.941E+00    2.92 um     7644 A      5734 A   
   2.00 keV   2.073E-01  4.092E+00    3.09 um     8015 A      6038 A   
   2.25 keV   2.199E-01  4.263E+00    3.30 um     8455 A      6401 A   
   2.50 keV   2.318E-01  4.417E+00    3.49 um     8873 A      6749 A   
   2.75 keV   2.431E-01  4.557E+00    3.68 um     9273 A      7083 A   
   3.00 keV   2.539E-01  4.686E+00    3.87 um     9658 A      7405 A   
   3.25 keV   2.643E-01  4.804E+00    4.05 um     1.00 um     7718 A   
   3.50 keV   2.743E-01  4.914E+00    4.22 um     1.04 um     8022 A   
   3.75 keV   2.839E-01  5.016E+00    4.39 um     1.07 um     8318 A   
