 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in  H- C (gas).txt

 Ion = Nickel [28] , Mass = 60 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.441E-01  3.118E+00    2.20 um     5926 A      4348 A   
   1.10 keV   1.512E-01  3.241E+00    2.30 um     6173 A      4543 A   
   1.20 keV   1.579E-01  3.356E+00    2.41 um     6409 A      4730 A   
   1.30 keV   1.643E-01  3.463E+00    2.50 um     6636 A      4911 A   
   1.40 keV   1.705E-01  3.564E+00    2.60 um     6853 A      5086 A   
   1.50 keV   1.765E-01  3.659E+00    2.70 um     7063 A      5255 A   
   1.60 keV   1.823E-01  3.748E+00    2.79 um     7267 A      5420 A   
   1.70 keV   1.879E-01  3.834E+00    2.88 um     7464 A      5580 A   
   1.80 keV   1.934E-01  3.915E+00    2.97 um     7656 A      5737 A   
   2.00 keV   2.038E-01  4.065E+00    3.14 um     8025 A      6040 A   
   2.25 keV   2.162E-01  4.236E+00    3.34 um     8465 A      6402 A   
   2.50 keV   2.279E-01  4.390E+00    3.54 um     8882 A      6748 A   
   2.75 keV   2.390E-01  4.531E+00    3.73 um     9280 A      7081 A   
   3.00 keV   2.497E-01  4.660E+00    3.92 um     9663 A      7403 A   
   3.25 keV   2.598E-01  4.779E+00    4.10 um     1.00 um     7715 A   
   3.50 keV   2.697E-01  4.889E+00    4.28 um     1.04 um     8017 A   
   3.75 keV   2.791E-01  4.992E+00    4.45 um     1.07 um     8312 A   
